Entidad;Objeto;FNA;GNA;NAM;SAG;LIMa_100k_;FDC;Escala;created_us;created_da;last_edite;last_edi_1;Pais_100KR;SHAPE_STAr;SHAPE_STLe
0;Pa°s;Rep£blica de Trinidad y Tobago;Rep£blica;Trinidad y Tobago;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,423053916;4,66253815
0;Pa°s;Rep£blica Bolivariana de Venezuela;Rep£blica;Venezuela;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;74,70386905;90,82604564
0;Pa°s;Estado Isl†mico del Afganist†n;Estado Isl†mico;Afganist†n;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;62,59166677;52,76588183
0;Pa°s;Rep£blica Popular de Angola;Rep£blica Popular;Angola;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;103,5854669;61,82907693
0;Pa°s;Rep£blica de Albania;Rep£blica;Albania;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;3,039395527;11,05045271
0;Pa°s;Principado de Andorra;Principado;Andorra;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,049560734;1,057953177
0;Pa°s;Rep£blica de Armenia;Rep£blica;Armenia;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;3,133777882;12,80647123
0;Pa°s;Australia;;Australia;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;695,9090945;322,895547
0;Pa°s;Rep£blica de Austria;Rep£blica;Austria;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;10,04370859;24,13856829
0;Pa°s;Rep£blica de  Azerbaiy†n;Rep£blica;Azerbaiy†n;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;9,135449902;27,68972152
